,Record #,Vessel Terms,Feature Type,Lat,Lng,GP Quality
777,14214,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.896657,-75.730799,High
778,14216,UNKNOWN,"Wreck - Submerged, nondangerous",36.894529999999996,-75.719581,
779,14224,J.W. AND S.E. BUNTING,"Wreck - Submerged, dangerous to surface navigation",38.033455,-75.35130600000001,Med
780,14228,HIWAL,"Wreck - Submerged, dangerous to surface navigation",38.086786,-75.05796099999999,Low
781,14932,UNKNOWN,"Wreck - Submerged, nondangerous",36.930389,-75.565528,
782,14498,TREENA B,"Wreck - Submerged, dangerous to surface navigation",37.868333,-75.156667,Low
783,14501,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",37.791667,-75.37472199999999,Med
784,14667,UNKNOWN,Wreck - Visible,39.826528,-75.352889,Low
785,14668,UNKNOWN,Wreck - Visible,39.825389,-75.35305600000001,Low
786,14673,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.667739000000005,-75.537228,High
787,14649,UNKNOWN,Wreck - Visible,39.966471999999996,-75.090778,Low
788,14650,UNKNOWN,Wreck - Visible,39.966083000000005,-75.09083299999999,Low
789,14651,UNKNOWN,Wreck - Visible,39.965833,-75.0925,Low
790,14652,UNKNOWN,Wreck - Visible,39.982,-75.07722199999999,Low
791,14656,UNKNOWN,Wreck - Visible,39.961278,-75.117778,Med
792,14657,UNKNOWN,Wreck - Visible,39.959139,-75.120417,Low
793,14658,UNKNOWN,Wreck - Visible,39.862044,-75.205903,Low
794,14659,UNKNOWN,Wreck - Visible,39.858194,-75.247833,Low
795,14714,BOW MARINER,"Wreck - Submerged, nondangerous",37.889306,-74.256222,High
796,14723,MARGARET P. HANKS,"Wreck - Submerged, dangerous to surface navigation",36.728528000000004,-75.56916700000001,High
797,14913,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.734472,-75.494861,High
798,14916,FRANCIS E. POWELL,"Wreck - Submerged, dangerous to surface navigation",36.814528,-75.39975,Low
799,14904,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.97,-75.358333,Med
800,14908,EASY GO,"Wreck - Submerged, nondangerous",36.943483,-75.516301,Med
801,14903,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",39.853,-75.236694,High
802,15150,WRECK,"Wreck - Submerged, nondangerous",37.484472,-75.28580600000001,High
803,15063,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",36.989244,-75.363119,High
804,15064,UNKNOWN,"Wreck - Submerged, nondangerous",36.967166999999996,-75.38341700000001,High
805,54105,WRECK,Wreck - Visible,56.253967,-134.649581,
806,53715,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",56.77230600000001,-132.967389,High
807,51009,UNKNOWN,"Wreck - Submerged, nondangerous",55.337153,-131.638906,Low
808,50379,UNKNOWN,Wreck - Visible,58.370575,-134.699269,High
809,50380,UNKNOWN,"Wreck - Submerged, nondangerous",59.551147,-139.78430600000002,High
810,51715,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",57.056056000000005,-135.349861,Med
811,51161,UNKNOWN,,56.676325,-132.5967,High
812,51192,UNKNOWN,"Wreck - Submerged, nondangerous",57.102439000000004,-134.04228899999998,Low
813,51197,CORAL SEA,Wreck - Visible,57.13329399999999,-133.39494399999998,High
814,50212,PRINCESS KATHLEEN,"Wreck - Submerged, dangerous to surface navigation",58.395189,-134.779272,High
815,50606,UNKNOWN,,55.405581000000005,-131.724872,High
816,50305,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",55.345735999999995,-131.672378,High
817,50082,DEE LEE,,58.109657999999996,-135.44680300000002,Med
818,50115,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",58.305322,-134.435536,High
819,53995,WRECK,"Wreck - Submerged, dangerous to surface navigation",55.379611,-133.149056,
820,52726,UNKNOWN,Wreck - Visible,56.465214,-132.38029699999998,Med
821,52506,UNKNOWN,,59.283471999999996,-135.46875,High
822,52507,UNKNOWN,Wreck - Visible,58.068525,-134.01245,High
823,52515,BARGE,"Wreck - Submerged, dangerous to surface navigation",55.346081000000005,-131.693669,High
824,52518,BARGE,"Wreck - Submerged, dangerous to surface navigation",55.336386,-131.680869,High
825,53076,UNKNOWN,Wreck - Visible,55.35054399999999,-131.698303,High
826,52828,UNKNOWN,Wreck - Visible,59.955189000000004,-141.69996899999998,High
827,52588,UNKNOWN,Wreck - Visible,58.257383,-134.887311,High
828,52276,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",58.200564,-134.25665800000002,High
829,52284,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",58.384392000000005,-134.652061,Med
830,52618,YAKUTAT EAGLE,"Wreck - Submerged, nondangerous",59.88333299999999,-141.533333,Low
831,51792,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",58.372989000000004,-135.918489,Low
832,52350,UNKNOWN,Wreck - Visible,58.118567000000006,-134.754661,High
833,51821,STATE OF CALIFORNIA,"Wreck - Submerged, nondangerous",57.473296999999995,-133.935014,High
834,52927,UNKNOWN,"Wreck - Submerged, nondangerous",57.130193999999996,-135.378153,Med
835,52387,UNKNOWN,Wreck - Visible,59.478364,-135.338067,High
836,52403,CLARA NEVADA,"Wreck - Submerged, dangerous to surface navigation",58.974786,-135.226522,High
837,52416,UNKNOWN,Wreck - Visible,59.993364,-139.477533,High
838,52957,RUSH,"Wreck - Submerged, dangerous to surface navigation",57.049764,-135.343339,High
839,52962,ROUGHNECK,"Wreck - Submerged, nondangerous",57.408836,-135.622389,High
840,51970,PRINCESS SOPHIA,"Wreck - Submerged, dangerous to surface navigation",58.589461,-135.01933300000002,High
841,53714,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",56.77230600000001,-132.967389,High
842,53514,STEAMER,"Wreck - Submerged, dangerous to surface navigation",55.285,-131.60833300000002,Low
843,53194,UNKNOWN,Wreck - Visible,55.35054399999999,-131.698303,High
844,53195,UNKNOWN,"Wreck - Submerged, nondangerous",55.332086,-131.631428,High
845,53196,VINA,"Wreck - Submerged, nondangerous",56.798056,-135.185944,High
846,53211,UNKNOWN,Wreck - Visible,56.81354399999999,-132.993583,High
847,53212,UNKNOWN,Wreck - Visible,56.823264,-132.963111,High
848,53213,UNKNOWN,Wreck - Visible,56.821028000000005,-132.961722,High
849,53214,UNKNOWN,Wreck - Visible,56.821042000000006,-132.961722,High
850,53749,WRECK,Wreck - Visible,55.48805600000001,-133.286111,
851,53792,UNKNOWN,"Wreck - Submerged, nondangerous",57.003,-135.217556,High
852,53794,UNKNOWN,"Wreck - Submerged, nondangerous",57.011389,-135.289778,High
853,53790,UNKNOWN,"Wreck - Submerged, nondangerous",57.008582999999994,-135.2365,High
854,53791,UNKNOWN,"Wreck - Submerged, nondangerous",57.001778,-135.223167,High
855,53793,UNKNOWN,"Wreck - Submerged, nondangerous",57.016360999999996,-135.24425,High
856,53795,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",57.011,-135.239056,High
857,53817,BASELINE,Not Charted,58.093314,-134.785453,
858,53818,BASELINE,Not Charted,58.08420600000001,-134.78331699999998,High
859,53837,UNKNOWN,,54.775544,-135.404014,
860,53951,UNKNOWN,Wreck - Visible,55.455580000000005,-131.478139,Med
861,53952,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",55.457106,-131.47833300000002,Med
862,54057,WRECK,"Wreck - Submerged, dangerous to surface navigation",55.113946999999996,-133.256911,
863,54059,WRECK,"Wreck - Submerged, nondangerous",55.503083,-133.13691699999998,High
864,54084,UNKNOWN,Wreck - Visible,56.254425,-134.648347,Low
865,53999,WRECK,"Wreck - Submerged, nondangerous",55.439075,-133.05086699999998,
866,53996,WRECK,"Wreck - Submerged, nondangerous",55.20193100000001,-132.825636,High
867,53997,WRECK,"Wreck - Submerged, nondangerous",55.207011,-132.832547,High
868,53980,WRECK,Wreck - Visible,56.67825799999999,-133.748086,Med
869,3927,OATLAND,"Wreck - Submerged, dangerous to surface navigation",44.151569,-76.348,High
870,493,LAURA GRACE,"Wreck - Submerged, dangerous to surface navigation",43.292811,-77.670164,High
871,7067,UNKNOWN,Wreck - Visible,43.352167,-78.192103,High
872,7068,JAMES H. SHRIGLEY,"Wreck - Submerged, dangerous to surface navigation",43.34875,-77.805806,High
873,2405,ATLAS,Not Charted,43.541733,-76.581336,Poor
874,2193,DELAWARE,"Wreck - Submerged, dangerous to surface navigation",43.221719,-79.264775,Low
875,2199,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.256644,-77.59830600000001,High
876,2201,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.266728,-77.583056,Low
877,2210,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.354503,-77.794175,Low
878,2228,ONTARIO,Not Charted,43.525067,-76.457994,Poor
879,2230,YOUNG ZION,Not Charted,43.576716999999995,-79.19977800000001,Poor
880,4338,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",44.282517,-76.012114,High
881,3862,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",44.152383,-76.347836,Med
882,3863,HARVEY J. KENDALL,"Wreck - Submerged, dangerous to surface navigation",44.142064000000005,-76.36618299999999,High
883,3926,OATLAND,Wreck - Visible,44.150094,-76.34841899999999,High
884,8416,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.573353000000004,-87.761736,Poor
885,14350,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.886547,-87.573933,High
886,8883,MUSKEG0N,"Wreck - Submerged, dangerous to surface navigation",41.71315,-86.934639,High
887,8884,UNKNOWN,Wreck - Visible,41.704244,-86.950186,High
888,2322,BLACK HAWK,Not Charted,44.699996999999996,-86.266764,Poor
889,2324,SYDNEY C MCLOUTH,"Wreck - Submerged, dangerous to surface navigation",44.831378,-87.81537800000001,Low
890,2325,WESTMORELAND,Not Charted,44.933325,-86.100094,Poor
891,2326,WALTER L. FROST,Not Charted,44.999992,-86.150097,Poor
892,2327,SIDNEY O NEFF,"Wreck - Submerged, dangerous to surface navigation",45.0934,-87.58014399999999,Low
893,2329,WILLIAM T. GRAVES,Not Charted,45.099986,-86.066758,Poor
894,2332,PANTHER,Not Charted,45.566669,-85.566744,Poor
895,1948,CHARLOTTE,,41.722260999999996,-86.897806,Low
896,1949,PAT HERNER,Not Charted,41.740871999999996,-86.887528,Low
897,1950,UNKNOWN,Not Charted,41.749722,-87.449,High
898,1959,F.W. WHEELER,"Wreck - Submerged, dangerous to surface navigation",41.746031,-86.865464,High
899,1960,DAVID DOWS,"Wreck - Submerged, dangerous to surface navigation",41.768028,-87.391722,High
900,1961,TACOMA,"Wreck - Submerged, dangerous to surface navigation",41.772444,-87.52225,High
901,1967,SILVER SPRAY,Wreck - Visible,41.807919,-87.58372800000001,High
902,1973,UNKNOWN,,41.876697,-87.637828,Low
903,1976,DELMORE,,41.886697,-87.638386,Poor
904,1979,STELLA,Not Charted,41.900281,-87.651886,Med
905,1981,COLUMBIA,"Wreck - Submerged, nondangerous",41.907531,-87.652831,Low
906,1982,UNKNOWN,Wreck - Visible,41.909696999999994,-87.658553,Med
907,1985,CARTER H HARRISON,"Wreck - Submerged, nondangerous",41.921696999999995,-87.66810799999999,Low
908,1986,T B BANNER,,41.922253000000005,-87.668525,Low
909,1987,UNKNOWN,,41.931697,-87.682,Low
910,1988,UNKNOWN,"Wreck - Submerged, nondangerous",41.933364000000005,-87.68477800000001,Low
911,1989,UNKNOWN,,41.936142,-87.6895,Low
912,1990,UNKNOWN,,41.936419,-87.69005600000001,Low
913,1991,UNKNOWN,"Wreck - Submerged, nondangerous",41.936419,-87.69005600000001,Low
914,1992,UNKNOWN,,41.936558000000005,-87.69019399999999,Low
915,1993,UNKNOWN,"Wreck - Submerged, nondangerous",41.937531,-87.690611,Low
916,1995,UNKNOWN,,41.940031,-87.693389,Low
917,1998,FIRE QUEEN,"Wreck - Submerged, nondangerous",41.943086,-87.694778,Low
918,1999,UNKNOWN,"Wreck - Submerged, nondangerous",41.943086,-87.694778,Low
919,2007,CHICORA,Not Charted,42.000039,-86.61668900000001,Poor
920,2011,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.033530999999996,-87.664556,Med
921,2036,CALUMET,Not Charted,42.200022,-87.716728,Poor
922,2037,UNKNOWN,,42.216689,-87.725061,Low
923,2085,SEABIRD,Not Charted,42.366689,-87.666731,Poor
924,2140,WISCONSIN,"Wreck - Submerged, nondangerous",42.531686,-87.7034,Low
925,2147,BURLINGTON,Not Charted,42.771685999999995,-86.216708,Poor
926,2148,ARGO,Not Charted,42.783353000000005,-86.216708,Poor
927,2176,DIPPER DREDGE 906,"Wreck - Submerged, dangerous to surface navigation",42.968078000000006,-87.786592,High
928,2180,PRINS WILLEM V,"Wreck - Submerged, dangerous to surface navigation",43.024736,-87.807025,Low
929,2182,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.032594,-87.910111,High
930,2188,APPOMATTOX,Not Charted,43.083344,-87.86675,Poor
931,2192,AMAZON OF DETROIT,Not Charted,43.216681,-86.250056,Poor
932,2217,TOLEDO,Not Charted,43.383333,-87.866753,Poor
933,2247,ANNA C. MINCH,Not Charted,43.750006,-86.46674399999999,Poor
934,2248,SELAH CHAMBERLIN,Not Charted,43.749994,-87.650083,Poor
935,2256,WILLIAM B. DAVOCK,Not Charted,43.966669,-86.583417,Poor
936,2266,VERNON,Not Charted,44.149994,-87.500078,Poor
937,2288,UNKNOWN,"Wreck - Submerged, nondangerous",44.497769,-88.022603,Low
938,2289,UNKNOWN,Wreck - Visible,44.499158,-88.02176899999999,Low
939,2312,ST. LAWRENCE,Not Charted,44.666664000000004,-86.266761,Poor
940,13017,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.07805,-87.67903299999999,Low
941,13022,GEO. MORLEY,"Wreck - Submerged, dangerous to surface navigation",42.044031,-87.668225,Low
942,13023,WELLS BURT,"Wreck - Submerged, dangerous to surface navigation",42.045361,-87.618083,High
943,13025,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.979167,-87.636667,Low
944,13026,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.980667,-87.63125,Low
945,13028,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.941666999999995,-87.58833299999999,Low
946,13029,WING OF THE WIND,"Wreck - Submerged, dangerous to surface navigation",41.932860999999995,-87.557639,High
947,13030,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.886601,-87.59876,High
948,13031,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.851739,-87.557989,Low
949,13032,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.827222,-87.597222,Low
950,13035,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.747167,-87.52883299999999,High
951,13036,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.74241,-87.506469,High
952,13038,IRENE,Wreck - Visible,41.711889,-87.526236,Low
953,13039,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.698889,-87.511111,Low
954,13046,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.646167,-87.428978,Low
955,13047,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.645364,-87.427431,Low
956,13048,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",41.635,-87.386667,High
957,13304,UNKNOWN,Wreck - Visible,45.100460999999996,-87.613867,Low
958,2831,UNKNOWN,Wreck - Visible,44.226669,-86.30430600000001,High
959,8404,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.999625,-87.884528,Med
960,8405,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.997514,-87.857025,Med
961,8406,SABASTOPOL,"Wreck - Submerged, dangerous to surface navigation",42.988236,-87.867858,Med
962,8410,LUMBERMAN,"Wreck - Submerged, dangerous to surface navigation",42.8695,-87.757194,High
963,8413,OLE,"Wreck - Submerged, dangerous to surface navigation",42.667278,-87.79485,High
964,8414,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",42.645275,-87.79137800000001,High
965,53815,UNKNOWN,"Wreck - Submerged, nondangerous",42.030667,-124.268702,Med
966,53708,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",44.621833,-124.08077800000001,High
967,53709,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",44.612167,-124.08144399999999,Med
968,53710,R/V MARGARET ANNE,Wreck - Visible,44.584944,-124.021778,Med
969,50357,UNKNOWN,Not Charted,38.991572,-123.709461,Low
970,50358,UNKNOWN,Not Charted,38.911019,-123.72196100000001,Low
971,50368,UNKNOWN,Not Charted,43.747060999999995,-124.181781,Low
972,50369,UNKNOWN,Not Charted,43.749839,-124.18733600000002,Low
973,50370,UNKNOWN,Not Charted,40.812625,-124.198811,Low
974,50371,UNKNOWN,Not Charted,41.738447,-124.200078,Low
975,50372,UNKNOWN,Not Charted,40.816514,-124.201172,Low
976,50374,UNKNOWN,Not Charted,41.805392,-124.35064399999999,Low
977,50375,UNKNOWN,Not Charted,41.805392,-124.3512,Low
978,50376,UNKNOWN,Not Charted,43.172053000000005,-124.409558,Low
979,50391,USS MILWAUKEE,Not Charted,40.8123,-124.19683300000001,High
980,50395,WALDERO,Not Charted,40.261525,-124.362825,Poor
981,50396,WALLA WALLA,Not Charted,40.438186,-124.40616399999999,Poor
982,50399,WEOTT,Not Charted,40.743181,-124.229506,Poor
983,50404,WILMINGTON,Not Charted,40.899846999999994,-124.167842,Low
984,50408,Y M S 133,Not Charted,43.499833,-124.501236,Low
985,50767,SDNG,,37.984092,-123.424456,Low
986,50768,SOTYME,"Wreck - Submerged, nondangerous",40.276244,-124.62616899999999,Poor
987,51724,PEARL HABOR,"Wreck - Submerged, nondangerous",40.774844,-124.476178,Low
988,50183,OCCIDENTAL,"Wreck - Submerged, nondangerous",40.033196999999994,-124.35448600000001,Poor
989,50185,OCEAN PEARL,Not Charted,40.833178000000004,-124.334511,Poor
990,50191,ONEATTA,Not Charted,40.746514000000005,-124.244228,Poor
991,50196,PACIFIC ENTERPRISE,Not Charted,38.966575,-123.76279699999999,Low
992,50198,PARAGON,Not Charted,41.739836,-124.189522,Poor
993,50200,PATUXENT,Not Charted,41.054844,-124.142844,Poor
994,50205,POINT LOMA,Not Charted,41.899833,-124.3012,Poor
995,50206,POINT LOMA,Not Charted,41.358175,-124.534531,Low
996,50216,QUINAULT,Not Charted,40.261525,-124.362825,Poor
997,50218,REDWOOD,"Wreck - Submerged, nondangerous",39.999860999999996,-125.00118300000001,Poor
998,50219,RESTLESS,Not Charted,41.739836,-124.189522,Poor
999,50220,RIVERSIDE,Not Charted,40.448186,-124.46783300000001,Poor
1000,50221,R.L. EMERY,Not Charted,41.736781,-124.18896699999999,Low
1001,50229,SAN BENITO,Not Charted,38.966572,-123.717794,Poor
1002,50230,SAN BUENAVENTURA,Not Charted,42.4215,-124.426217,Poor
1003,50234,SAN JACINTO,Not Charted,40.753181,-124.21950600000001,Poor
1004,50238,SANTA CLARA,Not Charted,43.171496999999995,-124.409558,Poor
1005,50241,SEA GULL,Not Charted,40.753181,-124.21950600000001,Poor
1006,50242,SEA PIRATE,Not Charted,40.448186,-124.46783300000001,Poor
1007,50247,SEQUOIA,Not Charted,40.774846999999994,-124.22895,Poor
1008,50250,SINALOA,Not Charted,42.766496999999994,-124.601219,Poor
1009,50602,ATALANTA,Not Charted,44.358175,-124.101231,Poor
1010,50603,AUI,Not Charted,44.599839,-124.08456100000001,Low
1011,50279,SOPHIE WENGER,Not Charted,41.739836,-124.189522,Poor
1012,50280,SOTOYOME,"Wreck - Submerged, dangerous to surface navigation",40.812625,-124.198672,Low
1013,50281,SOUTH COAST,Not Charted,38.084922,-122.954439,Poor
1014,50283,SPARROW,Not Charted,40.766514,-124.251172,Poor
1015,50284,SPUD,Not Charted,40.766514,-124.251172,Poor
1016,50289,SS DAISEY MATTHEWS,Not Charted,41.228178,-124.151183,Poor
1017,50301,SS WILLAPA,Not Charted,42.608164,-124.492883,Poor
1018,50308,SUCCESS,Not Charted,40.766514,-124.251172,Poor
1019,50310,SUSAN OLSEN,Not Charted,41.866503,-124.417872,Low
1020,50311,SUSAN WARDWELL,Not Charted,40.766514,-124.251172,Poor
1021,50312,TACOMA,Not Charted,43.733171999999996,-124.19289199999999,Poor
1022,50314,TIVERTON,Not Charted,40.746514000000005,-124.244506,Poor
1023,50315,TORONTO,,40.766514,-124.251172,Poor
1024,50317,TRICOLOR,Not Charted,40.466519,-124.4095,Poor
1025,50319,TWIN SISTERS,Not Charted,41.059844,-124.142844,Poor
1026,50320,UNION FOREVER,Not Charted,41.059844,-124.142844,Poor
1027,50009,AEOLUS,Not Charted,40.766514,-124.251172,Poor
1028,50011,AHMRIETTA,Not Charted,40.766514,-124.251172,Poor
1029,50012,AJAX,Not Charted,40.023196999999996,-124.06780800000001,Poor
1030,50013,ALASKA,Not Charted,40.448186,-124.47616699999999,Low
1031,50018,ALLIANCE NO.2,Not Charted,39.066572,-123.73446100000001,Low
1032,50020,ALVARADO,Not Charted,43.5215,-124.251228,Low
1033,50021,AMANDA AGER,Not Charted,41.333178000000004,-124.079517,Poor
1034,50023,AMERICAN EAGLE,Not Charted,41.739836,-124.189522,Poor
1035,50028,ARAGO,Not Charted,43.283164,-124.434564,Poor
1036,50029,ARCTIC,"Wreck - Submerged, nondangerous",38.784453000000006,-123.615808,High
1037,50031,ASHME,,40.999846999999995,-124.08450800000001,
1038,50071,COLUMBIA,Not Charted,43.3665,-124.351228,Low
1039,50075,CORONA,Not Charted,40.774844,-124.24950600000001,Poor
1040,50078,DAISY MATTHEWS,Not Charted,41.059844,-124.142844,Poor
1041,50079,DAUNTLESS,Not Charted,41.533175,-124.04285,Poor
1042,50085,DEL NORTE WOODSMAN,Not Charted,41.739836,-124.189522,Poor
1043,50109,EXACT,Not Charted,41.739836,-124.189522,Poor
1044,50120,GEORGE OLSEN,Not Charted,43.3665,-124.284558,Low
1045,50131,JOHN ASPIN,Not Charted,44.622060999999995,-124.08095,Low
1046,50042,COOLIDGE,Not Charted,44.309560999999995,-124.277625,Low
1047,50043,BROTHER JONATHAN,Not Charted,41.816503000000004,-124.326197,Poor
1048,50045,BRUSH,Not Charted,43.316497,-124.50123300000001,Low
1049,50048,BUTCHER,Not Charted,44.616506,-124.101228,Low
1050,50050,CENTENNIAL,Not Charted,41.533175,-124.04285,Poor
1051,50052,C.A. SMITH,Not Charted,43.3665,-124.351228,Low
1052,50054,C.C. LINDAVER,Not Charted,43.666503000000006,-124.23456100000001,Low
1053,50058,CHARLOTTE,Not Charted,41.533175,-124.04285,Poor
1054,50060,CHINOOK,Not Charted,43.341497,-124.36789399999999,Poor
1055,50095,D. WINTEMOTE,"Wreck - Submerged, nondangerous",38.716181,-123.545644,High
1056,50096,D. WINTERMORE,"Wreck - Submerged, nondangerous",38.636025,-123.592789,Poor
1057,50102,ELVENIA,Not Charted,41.739836,-124.189522,Poor
1058,50103,EMIDIO,Not Charted,41.743169,-124.18785600000001,Low
1059,50133,L.DOHENY,Not Charted,41.499839,-125.36788899999999,Low
1060,50140,MELBA,Not Charted,44.599839,-124.101228,Low
1061,53562,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",43.356221999999995,-124.34872800000001,Med
1062,53814,UNKNOWN,"Wreck - Submerged, nondangerous",42.049836,-124.38454499999999,Low
1063,54021,WRECK,Wreck - Visible,21.314667,-157.892889,
1064,50386,UNKNOWN,Not Charted,21.950189,-159.355539,Low
1065,51020,UNKNOWN,Wreck - Visible,20.918719,-156.90456899999998,High
1066,51021,UNKNOWN,Wreck - Visible,20.921331,-156.910394,High
1067,51022,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",20.922164000000002,-156.914375,High
1068,51023,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",20.922247,-156.931656,High
1069,51024,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",20.922664,-156.927044,High
1070,51025,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",20.923497,-156.933878,Low
1071,50457,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",21.276003,-157.84114399999999,Med
1072,50462,UNKNOWN,Wreck - Visible,21.300142,-157.900694,High
1073,50465,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",21.460769,-157.75974399999998,Med
1074,50466,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",21.274614,-157.837533,Low
1075,50467,WRECK,"Wreck - Submerged, dangerous to surface navigation",21.289907999999997,-158.033533,High
1076,50468,UNKNOWN,Wreck - Visible,21.316028,-157.885517,Low
1077,50469,UNKNOWN,Wreck - Visible,21.312472,-157.889758,Low
1078,50795,UNKNOWN,"Wreck - Submerged, nondangerous",21.508202999999998,-157.77391699999998,High
1079,50806,KAALA,Wreck - Visible,21.203144,-156.98326699999998,Low
1080,54087,WRECK,"Wreck - Submerged, nondangerous",21.289556,-157.90688899999998,High
1081,53596,UNKNOWN,"Wreck - Submerged, nondangerous",21.283139000000002,-157.869068,High
1082,54088,WRECK,"Wreck - Submerged, nondangerous",21.280056,-157.859611,High
1083,53567,WRECK,"Wreck - Submerged, dangerous to surface navigation",21.413153,-158.19571100000002,High
1084,53568,WRECK,"Wreck - Submerged, dangerous to surface navigation",21.412378,-158.196047,High
1085,53570,WRECK,"Wreck - Submerged, dangerous to surface navigation",21.419764,-158.194672,High
1086,53571,WRECK,"Wreck - Submerged, dangerous to surface navigation",21.420728,-158.193139,High
1087,53746,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",21.278853,-157.84678300000002,Med
1088,54016,WRECK,"Wreck - Submerged, dangerous to surface navigation",21.3165,-157.884083,High
1089,54017,WRECK,,21.315056,-157.893139,
1090,54018,WRECK,,21.314472,-157.893111,
1091,54019,WRECK,,21.313806,-157.89363899999998,
1092,54020,WRECK,"Wreck - Submerged, dangerous to surface navigation",21.3145,-157.893667,
1093,15129,WRECK,"Wreck - Submerged, dangerous to surface navigation",40.567114000000004,-74.047717,High
1094,8909,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.845971999999996,-74.835139,High
1095,11992,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",40.618333,-73.08025,High
1096,12021,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.928942,-74.85520600000001,High
1097,12026,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.903281,-74.81411899999999,High
1098,12027,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.949469,-74.688947,High
1099,12028,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.963081,-74.669639,High
1100,12029,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.88545,-74.679939,High
1101,12030,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.889267,-74.663111,High
1102,12031,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.896414,-74.66591899999999,High
1103,12047,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.902153000000006,-74.855836,High
1104,12057,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.918310999999996,-74.819389,High
1105,12059,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.958797,-74.700778,High
1106,12062,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.891633,-74.667886,High
1107,12064,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.893169,-74.676728,High
1108,12073,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.88515,-74.68383299999999,High
1109,12083,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.882478000000006,-74.669881,High
1110,12088,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.847119,-74.705164,High
1111,12089,UNKNOWN,"Wreck - Submerged, dangerous to surface navigation",38.847156,-74.708569,High
